"NAME","key","value"
"ESQUIVEL","PCTHISPANIC",94.66
"ESTES","PCTWHITE",86.75
"ESTRADA","PCTHISPANIC",92.86
"EVANS","PCTWHITE",68.39
"EVANS","PCTBLACK",25.72
"EVERETT","PCTWHITE",68.9
"EVERETT","PCTBLACK",24.59
"FARLEY","PCTWHITE",83.74
"FARMER","PCTWHITE",77.16
"FARRELL","PCTWHITE",89.88
"FAULKNER","PCTWHITE",79.38
"FELIX","PCTHISPANIC",66.29
"FERGUSON","PCTWHITE",74.83
"FERNANDEZ","PCTHISPANIC",83.58
"FIELDS","PCTWHITE",57.66
"FIELDS","PCTBLACK",35.78
"FIGUEROA","PCTHISPANIC",92.82
"FINLEY","PCTWHITE",72.3
"FINLEY","PCTBLACK",21.35
"FISCHER","PCTWHITE",94.34
"FISHER","PCTWHITE",82.58
"FITZGERALD","PCTWHITE",86.32
"FITZPATRICK","PCTWHITE",85.59
"FLEMING","PCTWHITE",71.71
"FLEMING","PCTBLACK",22.76
"FLETCHER","PCTWHITE",72.86
"FLETCHER","PCTBLACK",20.92
"FLORES","PCTHISPANIC",91.94
"FLOWERS","PCTWHITE",53.12
"FLOWERS","PCTBLACK",40.28
"FLOYD","PCTWHITE",65.41
"FLOYD","PCTBLACK",29.21
"FLYNN","PCTWHITE",91.91
"FOLEY","PCTWHITE",92.05
"FORD","PCTWHITE",62.05
"FORD","PCTBLACK",32
"FOSTER","PCTWHITE",69.65
"FOSTER","PCTBLACK",23.94
"FOWLER","PCTWHITE",81.41
"FOX","PCTWHITE",88.08
"FRANCIS","PCTWHITE",59.48
"FRANCIS","PCTBLACK",30.3
"FRANCO","PCTHISPANIC",81
"FRANK","PCTWHITE",84.54
"FRANKLIN","PCTWHITE",54.38
"FRANKLIN","PCTBLACK",38.76
"FRAZIER","PCTWHITE",56.1
"FRAZIER","PCTBLACK",37.36
"FREDERICK","PCTWHITE",80.13
"FREEMAN","PCTWHITE",65.5
"FREEMAN","PCTBLACK",28.34
"FRENCH","PCTWHITE",85.75
"FRIEDMAN","PCTWHITE",96.05
"FROST","PCTWHITE",86.46
"FRY","PCTWHITE",91.09
"FRYE","PCTWHITE",83.04
"FUENTES","PCTHISPANIC",93.24
"FULLER","PCTWHITE",73.22
"FULLER","PCTBLACK",21.06
"GAINES","PCTBLACK",50.72
"GAINES","PCTWHITE",42.93
"GALINDO","PCTHISPANIC",92.65
"GALLAGHER","PCTWHITE",94.62
"GALLEGOS","PCTHISPANIC",90.89
"GALVAN","PCTHISPANIC",92.26
"GARCIA","PCTHISPANIC",92.03
"GARDNER","PCTWHITE",75.01
"GARNER","PCTWHITE",71.71
"GARNER","PCTBLACK",22.82
"GARRETT","PCTWHITE",69.96
"GARRETT","PCTBLACK",24.45
"GARRISON","PCTWHITE",83.09
"GARZA","PCTHISPANIC",92.49
"GATES","PCTWHITE",75.04
"GENTRY","PCTWHITE",82.09
"GEORGE","PCTWHITE",66.47
"GIBBS","PCTWHITE",65.85
"GIBBS","PCTBLACK",28.29
"GIBSON","PCTWHITE",72.14
"GIBSON","PCTBLACK",21.78
"GILBERT","PCTWHITE",77.8
"GILES","PCTWHITE",64.94
"GILES","PCTBLACK",26.15
"GILL","PCTWHITE",65.23
"GILLESPIE","PCTWHITE",81.2
"GILMORE","PCTWHITE",65.41
"GILMORE","PCTBLACK",28.06
"GLASS","PCTWHITE",76.99
"GLENN","PCTWHITE",61.41
"GLENN","PCTBLACK",32.78
"GLOVER","PCTWHITE",52.58
"GLOVER","PCTBLACK",41.73
"GOLDEN","PCTWHITE",74.7
"GOMEZ","PCTHISPANIC",92.6
"GONZALES","PCTHISPANIC",84.06
"GONZALEZ","PCTHISPANIC",94.97
"GOOD","PCTWHITE",88.9
"GOODMAN","PCTWHITE",78.33
"GOODWIN","PCTWHITE",77.04
"GORDON","PCTWHITE",64.25
"GORDON","PCTBLACK",29.15
"GOULD","PCTWHITE",86.79
"GRAHAM","PCTWHITE",70.02
"GRAHAM","PCTBLACK",23.99
"GRANT","PCTWHITE",55.36
"GRANT","PCTBLACK",37.91
"GRAVES","PCTWHITE",69.64
"GRAVES","PCTBLACK",24.19
"GRAY","PCTWHITE",68.68
"GRAY","PCTBLACK",25.13
"GREEN","PCTWHITE",56.84
"GREEN","PCTBLACK",36.97
"GREENE","PCTWHITE",67.7
"GREENE","PCTBLACK",26.54
"GREER","PCTWHITE",73.3
"GREER","PCTBLACK",21.33
"GREGORY","PCTWHITE",78.64
"GRIFFIN","PCTWHITE",63.77
"GRIFFIN","PCTBLACK",30.81
"GRIFFITH","PCTWHITE",83.93
"GRIMES","PCTWHITE",74.91
"GROSS","PCTWHITE",84.87
"GUERRA","PCTHISPANIC",86.59
"GUERRERO","PCTHISPANIC",92.27
"GUEVARA","PCTHISPANIC",91.9
"GUTIERREZ","PCTHISPANIC",93.33
"GUZMAN","PCTHISPANIC",93.77
"HAHN","PCTWHITE",90.16
"HAIL","PCTWHITE",73.14
"HAIL","PCTBLACK",21.6
"HALE","PCTWHITE",82.23
"HALEY","PCTWHITE",81.27
"HALL","PCTWHITE",72.65
"HALL","PCTBLACK",21.59
"HAMILTON","PCTWHITE",70.21
